Iteration,delta_random,delta_stratified,delta_auc

T Size = 300, Epochs = 1, Batch Size = 100, Lambda = 0.1, epsilon = 0.001
1,0.0509,0.1830,0.0211
1,0.0489,0.1830,0.0213
1,0.0490,0.1857,0.0170
1,0.0479,0.1716,0.0156
1,0.0486,0.1716,0.0193
1,0.0511,0.1718,0.0187
1,0.0517,0.1718,0.0175
1,0.0521,0.1718,0.0130
1,0.0553,0.1718,0.0159
1,0.0491,0.1718,0.0153
1,0.0501,0.1718,0.0167
1,0.0502,0.1718,0.0162
1,0.0494,0.1718,0.0154
1,0.0494,0.1718,0.0141
1,0.0501,0.1718,0.0138
1,0.0490,0.1675,0.0153
1,0.0532,0.1675,0.0154
1,0.0557,0.1675,0.0147
1,0.0534,0.1675,0.0142
1,0.0529,0.1675,0.0144
1,0.0521,0.1770,0.0158
1,0.0632,0.1770,0.0114
1,0.0623,0.1770,0.0150
1,0.0643,0.1770,0.0182
1,0.0635,0.1770,0.0201
1,0.0624,0.1770,0.0192
1,0.0628,0.1770,0.0187

T Size = 200, Epochs = 1, Batch Size = 100, Lambda = 0.1, epsilon = 0.001
1,0.0214,0.1184,0.0966
1,0.0210,0.1107,0.0486
1,0.0264,0.1182,0.0519
1,0.0306,0.1111,0.0090
1,0.0288,0.0990,0.0393
1,0.0318,0.1055,0.0938
1,0.0330,0.0996,0.0770
1,0.0312,0.0897,0.0626
1,0.0352,0.0516,0.0432
1,0.0474,0.0410,0.1386
1,0.0486,0.0312,0.1598
1,0.0431,0.0027,0.1380
1,0.0412,0.0119,0.1986
1,0.0416,0.0038,0.1330
1,0.0414,0.0008,0.0774
1,0.0413,0.0228,0.0772
1,0.0438,0.0326,0.1029
1,0.0596,0.0284,0.1182
1,0.0678,0.0202,0.0999
1,0.0681,0.0124,0.1092
1,0.0711,0.0098,0.0810
1,0.0707,0.0269,0.0499
1,0.0695,0.0196,0.0403
1,0.0680,0.0232,0.0169
1,0.0411,0.0228,0.0004
1,0.0358,0.0262,0.0163
1,0.0307,0.0257,0.0001
1,0.0300,0.0324,0.0027
1,0.0304,0.0261,0.0444
1,0.0254,0.0204,0.0628
1,0.0261,0.0232,0.0653
1,0.0272,0.0388,0.0670
1,0.0327,0.0531,0.0481
1,0.0356,0.0389,0.0708
1,0.0402,0.0419,0.0605
1,0.0378,0.0480,0.0707
1,0.0340,0.0443,0.0838
1,0.0364,0.0576,0.0932
1,0.0384,0.0513,0.0687
1,0.0326,0.0540,0.0557
1,0.0215,0.0553,0.0435
1,0.0245,0.0565,0.0365
1,0.0247,0.0621,0.0509
1,0.0233,0.0675,0.0541
1,0.0261,0.0727,0.0641
1,0.0259,0.0776,0.0708
1,0.0211,0.0712,0.0736
1,0.0213,0.0557,0.0678
1,0.0166,0.0577,0.0575
1,0.0223,0.0464,0.0649
1,0.0015,0.0577,0.0678
1,0.0070,0.0683,0.0556
1,0.0049,0.0568,0.0467
1,0.0054,0.0616,0.0586
1,0.0047,0.0636,0.0725
1,0.0055,0.0589,0.0642
1,0.0194,0.0602,0.0728
1,0.0213,0.0642,0.0794
1,0.0110,0.0598,0.0784
1,0.0100,0.0822,0.0775
1,0.0155,0.0781,0.0720
1,0.0152,0.0035,0.0644
1,0.0106,0.0151,0.0734
1,0.0125,0.0186,0.0637
1,0.0129,0.0147,0.0503
1,0.0140,0.0193,0.0582
1,0.0141,0.0069,0.0643
1,0.0154,0.0122,0.0642
1,0.0110,0.0189,0.0682
1,0.0144,0.0456,0.0650
1,0.0162,0.0541,0.0667
1,0.0209,0.0746,0.0695
1,0.0214,0.0829,0.0758
1,0.0191,0.0720,0.0819
1,0.0211,0.0694,0.0896
1,0.0171,0.0727,0.0949
1,0.0177,0.0759,0.1005
1,0.0195,0.0687,0.1054
1,0.0193,0.0864,0.1173
1,0.0196,0.0802,0.1245
1,0.0153,0.0385,0.1279
1,0.0162,0.0633,0.1390
1,0.0160,0.0330,0.1315
1,0.0117,0.0383,0.1382
1,0.0121,0.0317,0.1325
1,0.0117,0.0114,0.1411
1,0.0125,0.0137,0.1491
1,0.0111,0.0178,0.1375
1,0.0078,0.0334,0.1393
1,0.0197,0.0274,0.1411
1,0.0252,0.0126,0.1334
1,0.0240,0.0084,0.1398
1,0.0278,0.0013,0.1409
1,0.0280,0.0018,0.1445
1,0.0238,0.0012,0.1499
1,0.0238,0.0180,0.1550
1,0.0241,0.0215,0.1590
1,0.0244,0.0189,0.1580
1,0.0211,0.0343,0.1604
1,0.0389,0.0006,0.1618
1,0.0399,0.0005,0.1712
1,0.0394,0.0090,0.1674
1,0.0403,0.0087,0.1727
1,0.0392,0.0010,0.1737
1,0.0397,0.0002,0.1696
1,0.0406,0.0018,0.1738
1,0.0406,0.0183,0.1745
1,0.0424,0.0237,0.1693
1,0.0469,0.0412,0.1710
1,0.0452,0.0340,0.1704
1,0.0443,0.0457,0.1670
1,0.0487,0.0237,0.1636
1,0.0489,0.0350,0.1684
1,0.0498,0.0391,0.1730
1,0.0458,0.0356,0.1766
1,0.0464,0.0233,0.1799
1,0.0449,0.0234,0.1833
1,0.0464,0.0148,0.1859
1,0.0576,0.0106,0.1878
1,0.0585,0.0063,0.1630
1,0.0593,0.0096,0.1629
1,0.0608,0.0099,0.1561
1,0.0599,0.0146,0.1504
1,0.0600,0.0190,0.1372
1,0.0602,0.0184,0.1404
1,0.0610,0.0190,0.1417
1,0.0614,0.0014,0.1485
1,0.0624,0.0077,0.1500
1,0.0541,0.0085,0.1451
1,0.0522,0.0124,0.1420
1,0.0519,0.0117,0.1344
1,0.0525,0.0100,0.1405
1,0.0486,0.0088,0.1416
1,0.0504,0.0125,0.1386
1,0.0493,0.0196,0.1342
1,0.0507,0.0169,0.1363
1,0.0514,0.0065,0.1405
1,0.0504,0.0078,0.1358
1,0.0521,0.0092,0.1353
1,0.0511,0.0114,0.1324
1,0.0490,0.0168,0.1332
1,0.0524,0.0140,0.1262
1,0.0501,0.0180,0.1234
1,0.0502,0.0145,0.1189
1,0.0511,0.0205,0.1230
1,0.0503,0.0192,0.1369
1,0.0352,0.0154,0.1438
1,0.0201,0.0151,0.1452
1,0.0157,0.0098,0.1397
1,0.0172,0.0033,0.1438
1,0.0192,0.0045,0.1413
1,0.0232,0.0047,0.1353
1,0.0237,0.0130,0.1361
1,0.0243,0.0132,0.1300
1,0.0248,0.0033,0.1344
1,0.0212,0.0006,0.1384
1,0.0221,0.0031,0.1423
1,0.0230,0.0024,0.1358
1,0.0258,0.0049,0.1329
1,0.0264,0.0078,0.1359
1,0.0269,0.0106,0.1371
1,0.0259,0.0177,0.1368
1,0.0277,0.0195,0.1510
1,0.0242,0.0282,0.1532
1,0.0242,0.0217,0.1560
1,0.0236,0.0134,0.1588
1,0.0241,0.0167,0.1458
1,0.0216,0.0094,0.1433
1,0.0206,0.0197,0.1367
1,0.0212,0.0088,0.1362
1,0.0226,0.0010,0.1295
1,0.0216,0.0014,0.1294
1,0.0222,0.0008,0.1221
1,0.0224,0.0047,0.1249
1,0.0234,0.0104,0.1290
1,0.0236,0.0040,0.1295
